000001010016C02AB  111*
010406010016B05BB  051 
010406010016B05XA  914 
010406010016G04BA  102 
010408010014R03DB  044 
010410010010S03AA  044 
010412010018S02CA  044 
010413010017D02AC  914 
010415010015S01GA  044 
010416010014D01AE  044 
010417010013A04AD  914 
010417010013N05CM  914 
010417020012A04AD  914 
010417020012N05CM  914 
010418010012B02AA  914*
010419010011G02CB  914*
010419010011N04BC  914 
010419020010G02CB  914*
010420010018C07FA  044 
010423010015A11CB  044 
010424010014V09CA  914*
010425010013N02AA  044 
010425010013N02BE  142 
010426010012V09CA  914*
010427010011S01CA  042 
010427010011S02CA  103 
010430010016M02AX  044 
010432010014J01DD  914*
010432020013J01DD  914*
010433010013A02AD  044 
010435010011J01DD  914*
010435020010J01DD  914*
010437010019B01AC  042 
010438010018A13A   044 
010440010014R05FA  044 
010442010012D07BB  044 
010443010011V08AB  914*
010444010010M01AC  914*
010444010010M02AA  133 
010444010010S01BC  111 
010445010019V07AC  044 
010446010018J01MA  914*
010446020017J01MA  914*
010448010016N02CC  914*
010448020015N02CC  931*
010448030014N02CC  053*
010449010015V03AX  044 
010450010011A03DA  044 
010451010010A07CA  044 
010452010019A06AA  044 
010453010018N02BE  044 
010454010017R05FA  044 
010455010016V90    052 
010455010016V91    141 
010456010015R05FA  044 
010457010014N02BE  044 
010458010013J01AA  044 
010459010012A12AA  044 
010461010018B02BD  044 
010462010017R05FA  044 
010463010016B02BX  044 
010464010015J01RA  044 
010465010014D08AX  044 
010466010013N02BA  044 
010467010012M02AC  044 
010468010011N02BA  044 
010469010010A04AD  044 
010470010017R05FB  044 
010471010016N03AX  914*
010472010015N02BA  044 
010473010014V08AA  042 
010475010012R05DA  044 
010476010011R05FA  044 
010477010010R05FA  044 
010478010019R05CA  044 
010479010018N02BA  044 
010480010015S01X   044 
010481010014A15    044 
010482010013D07XA  044 
010483010012N02BA  044 
010486010019A11JA  044 
010489010016R05FA  101 
010491010012R05FA  101 
010493010010D08A   044 
010494010019N02B   044 
010495010018M01B   044 
010496010017N02BE  044 
010497010016B05X   044 
010498010015B05X   044 
010499010014B05X   044 
010500010011D05A   044 
010502010019M01AE  044 
010503010018A08A   081 
010503010018A12CX  921 
010503020017A12CX  921 
010503030016A12CX  993 
010503040015A08A   061 
010503050014A12CX  122 
010503060013A12CX  122 
010503070012A12CX  133 
010503080011A12CX  142 
010504010017N05CM  044 
010506010015N06BX  044 
010507010014N01BA  044 
010508010013A03AD  044 
010510010019R05CA  044 
010511010018R06AB  921*
010511020017R06AB  921*
010512010017R07AA  921 
010513010016C08CA  921*
010513020015C08CA  921*
010514010015R01AB  044 
010515010014V09    921 
010516010013S02DA  044 
010517010012D09A   044 
010518010011N05AX  921 
010518020010N05AX  921 
010518030019N05AX  922 
010520010017M02AB  044 
010521010016R05X   044 
010523010014S01AX  044 
010525010012A16AB  922*
010527010010R05DA  044 
010528010019D11AF  041 
010531010014A06AG  044 
010534010011D04AB  044 
010537010018M03AC  051 
010537020017M03AC  921*
010538010017A11JA  053 
010538010017S01XA  043 
010540010013V09AA  921*
010541010012V09DA  921 
010542010011N02BE  044 
010543010010D02BA  921 
010544010019N06AX  921*
010544020018N06AX  011*
010545010018N03AX  921 
010546010017V90    052 
010549010014A02AF  044 
010550010010R05FA  044 
010551010019R05DA  044 
010552010018M01A   044 
010553010017C05AX  921 
010553010017D08AB  921 
010553010017M02AX  121 
010553010017S02AA  921*
010554010016N02BE  044 
010555010015A07BA  044 
010556010014D02AX  044 
010557010013D07CA  044 
010558010012N02AA  044 
010558010012N02BA  044 
010559010011N02AB  044 
010560010018G01AX  921 
010561010017V03AB  952*
010561020016V03AB  921*
010561030015V03AB  943*
010561040014V03AB  061*
010563010015G02C   044 
010564010014R01BA  044 
010565010013N02BE  044 
010566010012N01B   044 
010567010011N01B   044 
010568010010N02BA  044 
010569010019G03    921 
010570010016N02BE  044 
010571010015C07DB  044 
010573010013N02AA  044 
010573010013N02BE  044 
010574010012V90    052 
010575010011S02CA  044 
010576010010R03DA  921*
010578010018A03AD  044 
010580010014M02AC  044 
010581010013L03A   921 
010582010012A13A   044 
010583010011R03DA  044 
010584010010N02AG  044 
010585010019R05FA  044 
010586010018A05BA  044 
010588010016N02CX  044 
010589010015A11DB  044 
010591010011C10AB  044 
010592010010A04AD  044 
010593010019N02BA  044 
010594010018N02BB  044 
010595010017B03AE  044 
010596010016B03AE  044 
010597010015D04AB  044 
010598010014D08AE  092 
010598010014R02AA  044 
010600010010N03AG  044 
010603010017G01AF  044 
010604010016N02BB  044 
010606010014A05BA  921 
010608010012J01FA  044 
010609010011A11D   943 
010610010018A11DB  044 
010611010017A07AA  921*
010611010017D06AX  961*
010613010015A06AB  044 
010614010014A02BA  921*
010614020013A02BA  921*
010615010013A11EA  044 
010616010012S01AA  044 
010617010011B01AC  921*
010619010019R01AB  044 
010620010016R01AB  044 
010621010015C05AD  044 
010622010014H01BB  921*
010623010013R05CA  044 
010624010012R02AA  044 
010625010011A03CA  044 
010626010010N02AA  044 
010626010010N02BB  044 
010628010018C01EB  044 
010629010017R05DA  043 
010630010014A13A   044 
010631010013D02AX  921 
010632010012D11AX  044 
010633010011J05AF  921*
010634010010J05AX  921 
010636010018N06AX  051 
010636020017N06AX  921 
010637010017C05BA  921 
010640010012A12AX  044 
010641010011D05AX  971*
010641020010D05AX  103 
010642010010A01AD  044 
010643010019A06AD  053 
010643010019A07CA  044 
010644010018V06DD  921 
010645010017V90    052 
010645040014V90    052 
010645050013V90    052 
010645080010V90    073 
010646010016M01BX  044 
010647010015C05BB  044 
010649010013N02AA  044 
010649010013N02BE  044 
010650010019S01EA  044 
010651010018B03X   044 
010652010017A15    044 
010653010016N02BE  044 
010655010014J01DB  044 
010656010013A03FA  921 
010656020012A03FA  921 
010658010011C05C   044 
010659010010A06AB  044 
010660010017A02AD  044 
010661010016A05AB  044 
010662010015A01AB  044 
010663010014A06AB  044 
010664010013D02A   044 
010665010012A11DB  044 
010666010011N05CF  921 
010668010019A12CC  124 
010670010015N03A   044 
010671010014N05BA  044 
010672010013R01A   044 
010673010012N01B   044 
010674010011S02CA  044 
010676010019R05X   044 
010677010018R05FB  044 
010679010016D02AB  044 
010681010012D04A   044 
010682010011D06AX  101 
010682010011J01MA  921*
010682010011S01AE  131*
010682010011S03AA  063 
010682030019D06AX  101 
010682030019J01MA  933*
010682030019S01AE  131*
010682030019S03AA  063 
010682040018J01MA  044*
010682040018S01AE  131*
010684010019C01CE  921 
010688010015D04A   044 
010689010014N03AX  921*
010691010010A02BX  921 
010692010019A02AG  044 
010694010017J01GB  921*
010694020016J01GB  003*
010695010016D04A   044 
010695010016M02AC  044 
010696010015D04A   044 
010696010015M02AC  044 
010697010014C01CA  921 
010698010013A09A   921 
010700010019D04A   044 
010701010018S01EB  044 
010704010015M01AE  044 
010705010014C01EA  921 
010705010014C04AX  124 
010705020013C01EA  101 
010705020013C04AX  124 
010706010013J01MA  921 
010706010013S01AE  132 
010706020012J01MA  921 
010706020012S01AE  132 
010706030011J01MA  143 
010706030011S01AE  143 
010709010010N04AA  921*
010709020019N04AA  921*
010711010016B05BB  044 
010712010015A03FA  044 
010714010013N01AB  921*
010715010012M03BX  921*
010715020011M03BX  921*
010718010019B05BB  044 
010719010018D04A   044 
010719010018M02AC  044 
010721010014V90    052 
010722010013D04A   044 
010722010013M02AC  044 
010726010019S01CA  043 
010726010019S02CA  043 
010727010018D08AX  921 
010728010017G03CA  922 
010728010017L02AA  922 
010729010016A14AB  921*
010730010013L03A   921 
010732010011D10AA  044 
010733010010D02AF  094 
010734010019A11JC  044 
010735010018A11E   044 
010736010017D07XA  101 
010739010014R03DA  044 
010740010011C04AA  044 
010741010010R06AA  043 
010742010019N02BB  044 
010743010018N02BA  044 
010744010017R05X   044 
010745010016R05X   044 
010747010014D04AA  044 
010748010013N02AA  044 
010748010013N02BE  044 
010749010012V90    052 
010750010018R05FA  044 
010751010017D08AX  044 
010752010016A11EA  044 
010753010015A11EA  044 
010754010014N01BX  044 
010755010013N01BX  044 
010756010012A06AB  044 
010757010011V90    052 
010760010016V90    052 
010761010015C01E   044 
010762010014R03DA  044 
010763010013N02BB  044 
010765010011C01EX  044 
010766010010V90    052 
010767010019V90    052 
010768010018S03D   044 
010770010014A01AD  044 
010773010011C01EX  044 
010774010010N02AA  044 
010774010010N02BA  044 
010775010019C02LA  044 
010776010018S01AB  044 
010777010017D04AX  044 
010777010017D08AE  044 
010778010016J01CE  044 
010779010015A07AB  044 
010780010012A07AB  044 
010782010010N02BA  044 
010783010019G04BD  044 
010784010018R06AA  044 
010785010017C02LA  044 
010786010016C05BA  101 
010786010016M02AC  101 
010787010015N02BA  044 
010788010014N02BA  044 
010789010013N02BA  044 
010790010010R01AD  044 
010791010019B03AD  044 
010792010018B03AE  044 
010793010017N02AA  044 
010793010017N02BB  044 
010794010016A12AX  044 
010795010015A12AA  044 
010796010014V90    052 
010796020013V90    052 
010797010013N02AA  044 
010797010013N02BE  044 
010799010011B03BA  104 
010801010017N02BB  044 
010802010016N02BB  044 
010803010015D07CC  044 
010804010014N02BE  044 
010805010013A03ED  044 
010806010012N02BE  044 
010807010011N02BA  044 
010808010010R05FB  044 
010809010019A11JB  044 
010810010016C05CA  044 
010811010015M02AC  131 
010811010015N02BA  044 
010812010014N02AA  044 
010812010014N02BE  044 
010813010013N02BE  044 
010814010012N02BB  044 
010815010011N02CA  044 
010816010010D07BB  101 
010817010019D02AB  044 
010819010017D11AA  044 
010820010014N05CB  044 
010821010013J01RA  044 
010822010012C04AC  044 
010823010011A03ED  044 
010824010010A06AB  044 
010825010019N02BE  044 
010826010018N02BA  044 
010827010017N02BA  044 
010830010012N02BB  044 
010831010011N02AG  101 
010833010019S01AA  044 
010834010018N02BE  044 
010835010017R05X   044 
010836010016N02BE  044 
010837010015N02BE  044 
010838010014R03DA  044 
010839010013R03DA  044 
010840010010N02BA  044 
010841010019D07CA  044 
010841010019S02CA  044 
010842010018M02AC  101 
010843010017V90    052 
010844010016M02AC  133 
010845010015N02BG  922 
010845020014N02BG  122 
010846010014N02AC  142 
010846010014N02BA  044 
010848010012N05CA  044 
010850010017D07BB  044 
010851010016A09AA  044 
010852010015N02BB  044 
010853010014R05X   044 
010854010013A07XA  044 
010855010012N02BA  044 
010856010011C05BA  044 
010857010010A06AB  044 
010858010019N02BA  044 
010860010015R05DA  044 
010861010014R03CA  044 
010862010013R01BA  043 
010863010012S01X   044 
010864010011N02BE  044 
010865010010N02BE  044 
010867010018A12    044 
010869010016R01AD  044 
010873010010N05BC  044 
010874010019V90    052 
010875010018V03AX  044 
010876010017J01EC  044 
010877010016J01EC  044 
010878010015N02CX  044 
010879010014N02B   044 
010882010019A11JA  044 
010883010018R01AX  044 
010884010017A11CB  044 
010888010013S01CA  101 
010890010019R02AB  044 
010893010016A03AX  044 
010896010013R02A   044 
010897010012R02A   044 
010898010011R05X   044 
010899010010C01AA  044 
010899010010C04AD  044 
010900010017M02    044 
010903010014B05BB  044 
010906010011A06AX  044 
010907010010D08AE  044 
010908010019N02CX  044 
010910010015R02AA  044 
010911010014D10AB  044 
010913010012G03AA  044 
010914010011A03ED  044 
010915010010R02AA  044 
010916010019R05X   044 
010917010018R05X   044 
010918010017N05CC  044 
010919010016A02AX  044 
010922010011C03EA  044 
010923010010N02BA  101 
010924010019N05CB  044 
010928010015D03    044 
010932010019D02AX  044 
010933010018A05B   044 
010934010017R05FA  044 
010935010016A11GB  044 
010936010015M01AX  922 
010937010014N01AF  922 
010939010012D10AX  044 
010940010019R02AD  922 
010940020018R02AD  922 
010943010016V90    052 
010946010013N02AG  044 
010953010013P01    922 
010953010013V08CA  051 
010955010011P03AC  044 
010957010019C04A   044 
010958010018G03FB  044 
010959010017N03AG  971*
010959020016N03AG  981*
010960010014A11JC  044 
010961010013A03DA  044 
010962010012C01    044 
010963010011D04AB  922 
010963030019D04AB  122 
010965010019R05X   044 
010966010018D02A   044 
010970010012D08AX  051 
010971010011C05C   923 
010974010018A07BA  044 
010976010016D01AE  044 
010977010015B05AA  044 
010978010014N05CM  044 
010980010010J01CE  922 
010982010018A12AX  044 
010983010017S01CB  044 
010983010017S02CA  044 
010984010016A12AX  044 
010985010015N03AG  044 
010991010017V09GA  922*
010992010016J07X   044 
010994010014A13A   922 
010998010010C05BA  044 
011000010014A05BA  044 
011001010013N02BG  044 
011002010012C02LA  044 
011003010011N02CA  044 
011004010010V90    052 
011006010018S01ED  044 
011009010015N05AD  044 
011010010012H02BX  101 
011011010011D02BA  044 
011012010010N02BG  044 
011013010019C01CA  922*
011013020018C01CA  922*
011014010018S02CA  044 
011015010017S01AX  044 
011016010016D07AA  101 
011021010019V90    052 
011021010019V91    142 
011021040016V90    052 
011021050015V90    052 
011021060014V90    052 
011021080012V90    061 
011022010018A05AX  051 
011022030016A05AX  052 
011024010016N01B   922 
011025010015B05AA  922*
011025010015V07AB  053 
011026010014C08CA  922*
011027010013G01A   922 
011032010016S01XA  044 
011034010014R05CA  044 
011035010013M05BB  044*
011037010011A10BB  923*
011038010010M03AC  934*
011038020019M03AC  923*
011039010019S01GA  044 
011040010016J01DC  923*
011040020015J01DC  093 
011041010015R02AD  923 
011042010014R03DA  044 
011043010013N02BA  044 
011044010012A11EA  044 
011045010011N05CA  044 
011046010010D03AX  923*
011047010019M01AB  044 
011047010019N02AA  044 
011049010017M02AC  044 
011050010013H02AA  923*
011050020012H02AA  122 
011053010010A03AX  923 
011053020019A03AX  923 
011054010019A01AB  044 
011055010018M02AC  044 
011056010017V03AX  044 
011059010014D11AX  923 
011060010011R05FB  044 
011061010010A11EA  044 
011062010019S01CA  042 
011063010018V08AB  923*
011065010016A12BA  044 
011066010015B02BD  044 
011067010014D11AX  044 
011068010013R01AX  103 
011068010013V03AX  923 
011069010012N05CB  044 
011070010019R03DA  044 
011071010018J01XX  923 
011075010014A03CB  044 
011076010013N05CB  044 
011081010016N07X   923 
011084010013M02AC  044 
011087010010A07E   044 
011088010019C05CA  923 
011090010015N02BB  044 
011092010013J01FA  923*
011092030011J01FA  052*
011093010012A05AB  923 
011095010010S01CB  044 
011096010019A06AG  043 
011097010018D11A   044 
011098010017H02BX  044 
011101010012S01CA  044 
011102010011S01B   101 
011103010010B05XA  044 
011104010019D06AX  044 
011105010018M01BA  044 
011106010017S02DA  044 
011107010016D11AX  044 
011108010015R05X   044 
011109010014R05X   044 
011110010011R05DA  044 
011112010019V90    052 
011113010018S01XA  044 
011115010016V90    052 
011116010015S01CB  044 
011117010014S01CA  044 
011117010014S02CA  103 
011117010014S03CA  104 
011118010013R01AD  044 
011119010012D07BC  044 
011120010019D08AE  044 
011125010014N02AA  044 
011125010014N02BE  044 
011129010010N02BE  044 
011132010015A07XA  044 
011132010015M03BA  044 
011133010014A06AX  044 
011135010012C07BA  044 
011136010011N02BE  044 
011138010019D08AX  044 
011139010018A06AA  044 
011140010015A09AA  044 
011145010010R01AB  044 
011145010010S01GA  092 
011146010019R05CA  044 
011148010017D07XB  101 
011151010011B05BB  044 
011152010010R01B   044 
011154010018D02AX  044 
011155010017V04C   044 
011156010016R05DA  044 
011157010015A11JB  044 
011159010013V09    923 
011160010010L01CD  923*
011160020019L01CD  081*
011160030018L01CD  094*
011160040017L01CD  121 
011160050016L01CD  121*
011160060015L01CD  121*
011160070014L01CD  121*
011161010019G03HB  044 
011162010018V07AY  923 
011163010017M01AX  923*
011163020016M01AX  934*
011164010016N02BE  044 
011165010015N02BE  044 
011169010011V90    052 
011170010018V90    052 
011171010017M02AX  044 
011172010016S02AA  044 
011173010015G01AE  044 
011174010014B05BB  044 
011175010013A02AH  044 
011177010011V90    052 
011178010010N02CA  044 
011183010013C07EA  044 
011185010011S01XA  044 
011186010010A09AA  114 
011186010010B06AA  123 
011186010010M09AB  044 
011189010017C01CA  924 
011189010017S01EA  924 
011189010017S01FB  924 
011189020016C01CA  924 
011190010014C05AA  044 
011191010013S01XA  044 
011193010011V90    052 
011195010019A07DA  044 
011196010018V90    052 
011197010017G04BX  044 
011199010015N02AC  044 
011200010012C05BA  044 
011204010018R01AB  044 
011205010017C09XA  924*
011216010014C09CA  924*
011216020013C09CA  951*
011217010013C05AX  044 
011218010012D07BC  101 
011220010018B03AE  044 
011221010017A07FA  044 
011222010016G03DB  924 
011227010011C05AX  044 
011227010011C05CA  141 
011228010010R05CA  044 
011229010019D07XA  044 
011230010016C05C   924 
011247010017A05AX  934 
011247010017D08AX  051 
011247020016D08AX  924 
011248010016A01AD  044 
011248010016A06AG  084 
011251010010N06AX  924*
011255010016R05X   044 
011256010015C01    044 
011258010013V90    052 
011258020012V90    052 
011258030011V90    052 
011258040010V90    052 
011260010019B02BD  081*
011261010018M02AX  044 
011262010017C05AX  044 
011263010016B05BB  044 
011267010012D06BX  044 
011269010010C01BC  924 
011271010016N06AG  121 
011272010015N04BX  924*
011272020014N04BX  102*
011273010014B05AA  044 
011274010013A11JC  044 
011276010011R06AX  924 
011278010019A05AX  044 
011279010018A07X   924 
011280010015A02X   044 
011281010014D01AC  044 
011282010013L01XX  924*
011282010013P01CX  141 
011283010012A11EX  924 
011285010010A02BX  924 
011285020019A02BX  924 
011286010019A05BA  044 
011287010018C07AG  924 
011287020017C07AG  924 
011288010017M02AC  044 
011290010013N02AA  044 
011290010013N02BE  044 
011292010011N02BE  044 
011294010019N02BE  044 
011295010018G03BA  042 
011296010017A09AC  044 
011299010014R05DA  044 
011300010011D11AX  924*
011300010011G04CB  924*
011301010010C10AB  924 
011302010019J01DD  051*
011303010018V03AB  924 
011304010017N04AA  924 
011304020016N04AA  924 
011304030015N04AA  122 
011305010016S01AX  044 
011307010014V90    052 
011308010013N02BE  044 
011309010012N02BA  924 
011310010019D02AF  044 
011311010018R05X   044 
011315010014D07CC  044 
011316010013A12AX  044 
011317010012V90    052 
011317020011V90    052 
011317030010V90    052 
011319010010N02BE  924 
011320010017C01BD  931*
011321010016D11AX  144 
011321010016M09AA  924*
011321020015M09AA  924*
011322010015N05BA  924 
011323010014R05FA  044 
011324010013N02BE  044 
011325010012R05DA  044 
011326010011A11CB  924 
011326010011D03AA  073 
011327010010D02AC  044 
011328010019N02BA  044 
011329010018J01CA  044 
011330010015M09A   044 
011331010014M02AC  044 
011333010012D08AX  044 
011334010011A01AD  044 
011335010010V90    052 
011336010019C09BA  043 
011337010018V90    052 
011337030016V90    052 
011339010016A11JC  044 
011340010013R05D   044 
011341010012R05X   044 
011342010011V06DA  044 
011343010010D06AX  044 
011343010010J01BA  044 
011344010019R05FB  044 
011345010018N02AB  044 
011347010016R02AA  044 
011349010014A05A   044 
011350010010R01AB  092 
011353010017R05FA  044 
011354010016C10AX  931 
011355010015D07BB  142 
011355010015D07XB  044 
011356010014J01DC  931*
011357010013G01BD  051 
011357010013S02CA  051 
011361010017L01XX  931*
011363010015N02AA  044 
011363010015N02BE  044 
011364010014A12BA  044 
011366010012R05CA  044 
011368010010M03AX  931 
011370010016B03AA  044 
011372010014R01BA  044 
011373010013V90    052 
011375010011M01AE  044 
011376010010R05CA  044 
011377010019N02AA  041 
011377010019N02BE  041 
011378010018R03DA  044 
011379010017H02BX  092 
011380010014J06BB  931*
011381010013A13A   073 
011381010013N05A   931 
011381010013V91    141 
011381020012N05A   931 
011381030011A13A   122 
011382010012D08AG  044 
011383010011D07XB  044 
011386010018B05CA  044 
011389010015S01XA  044 
011390010012J04AM  044*
011391010011J01DB  044 
011393010019N02AA  044 
011393010019N02BE  044 
011394010018M01AE  931 
011395010017M02AC  044 
011396010016H02AB  931 
011397010015N01BX  044 
011398010014M02AC  044 
011399010013A01AC  044 
011400010010M01AB  931*
011400010010M02AA  071*
011400020019M01AB  113 
011400020019M02AA  113 
011401010019D03AX  044 
011404010016B05AA  044 
011405010015N05BA  044 
011407010013A03EA  044 
011408010012A11DB  044 
011409010011R01AA  044 
011410010018J01CE  044 
011411010017R05FB  044 
011412010016R03DB  044 
011414010014R05FA  044 
011415010013D02AF  044 
011416010012D02AE  044 
011417010011N02AG  044 
011418010010R05FA  044 
011419010019N02BE  044 
011421010015V90    052 
011422010014D07BC  044 
011425010011A03FA  931 
011425010011N05AL  041*
011426010010R05CB  931 
011427010019R05DA  044 
011428010018R02AA  044 
011429010017N02BE  044 
011431010013R07AB  044 
011432010012N05AX  931*
011433010011S01CA  044 
011435010019C01CA  044 
011436010018C05BA  044 
011437010017S01AX  044 
011440010012V90    052 
011442010010D08A   044 
011444010018B05AA  044 
011446010016N04BC  931 
011446020015N04BC  931 
011447010015R05CB  931 
011447020014R05CB  931 
011448010014B03AB  931 
011449010013A01AB  931*
011449020012A01AB  931*
011450010019D03AX  931 
011450010019M01AX  931 
011450010019S01XA  931 
011451010018J07BC  931*
011453010016D08AX  931 
011454010015N02CX  931 
011454020014N02CX  931 
011455010014N05AX  931 
011455020013N05AX  931 
011455030012N05AX  061 
011457010012V09    931 
011458010011A16    931 
011458010011V06    122 
011458020010V06    122 
011461010016V90    052 
011462010015G04BD  044 
011463010014A07B   044 
011464010013D08AK  044 
011465010012C05BA  044 
011466010011H03AA  044 
011467010010A11DB  044 
011468010019C03BD  044 
011469010018G02BB  044 
011470010015A16A   044 
011471010014N02BA  044 
011472010013D07CA  044 
011473010012V90    052 
011473020011V90    063 
011474010011D10AB  044 
011475010010N05CB  044 
011476010019D04AB  044 
011477010018A12AX  044 
011479010016V03AX  044 
011480010013B03AD  091 
011481010012R03DA  044 
011483010010C09AA  932*
011484010019A01AD  044 
011485010018J01RA  044 
011486010017R01AD  044 
011487010016D07BC  044 
011488010015D02AE  041 
011489010014C05AD  044 
011490010011R05CB  044 
011492010019N02BE  044 
011493010018N02BE  044 
011494010017R05X   044 
011496010015N02BE  044 
011497010014H03CA  044 
011498010013C05AX  044 
011499010012V90    052 
011505010014B03BA  044 
011506010013V90    052 
011507010012A01AA  044 
011508010011D11AC  044 
011509010010D07CC  044 
011510010017D01AE  044 
011511010016V03AX  044 
011513010014V90    052 
011514010013L03AX  094 
011514010013V03AX  932 
011515010012D01AC  932*
011515010012G01AF  961*
011515020011D01AC  932*
011515020011G01AF  961*
011518010019D02AC  932 
011519010018R01BA  044 
011521010014N02AA  044 
011521010014N02BE  044 
011523010012J01AA  044 
011524010011N02AA  044 
011524010011N02BE  044 
011525010010R05X   044 
011526010019R05DA  044 
011527010018N07AA  044 
011528010017N01BB  044 
011532010011A03AB  044 
011536010017A07AX  044 
011544010017D04AA  044 
011548010013D07XA  044 
011559010019A02BX  104 
011559010019S01XA  123 
011560010016D01AE  044 
011561010015R06AA  044 
011563010013D03AX  044 
011563010013G02CX  141 
011566010010R05FB  044 
011567010019R06AX  932 
011567010019S01GX  101 
011567020018R06AX  932 
011567020018S01GX  101 
011568010018C01B   932 
011568020017C01B   932 
011570010014R02AD  044 
011571010013A12CC  044 
011572010012A11DB  044 
011573010011A03AA  932 
011573020010A03AA  932 
011574010010D02AB  044 
011577010017S01AX  044 
011578010016D08AX  044 
011579010015N02AG  932 
011580010012D03BA  932 
011581010011D03AX  932 
011583010019D01AE  932 
011586010016J01E   932 
011587010015M02AC  044 
011588010014C04AX  044 
011590010010A02BC  932*
011591010019R02AB  044 
011592010018C01EB  932*
011592020017C01EB  061*
011595010015R05DA  044 
011596010014B01AC  932*
011596020013B01AC  944*
011597010013C04AB  041 
011597010013G04BE  152 
011598010012N02BA  044 
011599010011N05CD  932*
011600010018R01AB  044 
011601010017N02BA  044 
011602010016D02AC  044 
011602010016S01XA  111 
011603010015C05AD  044 
011604010014L01XX  061*
011604020013L01XX  061*
011605010013M01AB  044 
011605010013N02AA  044 
011606010012A11HA  044 
011608010010N05CX  044 
011610010016V90    052 
011617010019J06AA  932 
011620010014R01AB  032 
011622010012N02BB  051 
011624010010R05DA  043 
011625010019C05AD  043 
011625010019C05BX  043 
011626010018B03AE  044 
011627010017N02BE  044 
011629010015R05FA  044 
011631010011R06AE  044 
011632010010V90    052 
011632020019V90    052 
011636010016R05FA  044 
011637010015M02AC  044 
011637010015V90    143 
011639010013V90    052 
011640010010J06BC  932*
011642010018D08AX  044 
011644010016M03BC  044 
011645010015A01AB  044 
011646010014A10AE  044 
011648010012A12CC  044 
011649010011D01AE  044 
011650010017M01BA  044 
011652010015V90    052 
011653010014N02BA  044 
011654010013V03AB  044 
011655010012C02LA  044 
011657010010B05B   044 
011660010015M02AX  044 
011661010014C07BB  042*
011662010013J01DD  933*
011663010012C09BA  032 
011664010011M01AB  044 
011665010010D11A   044 
011666010019D11AA  044 
011667010018B03AE  044 
011668010017V90    052 
011668010017V91    141 
011668030015V90    052 
011668040014V90    052 
011668050013V90    052 
011668070011V90    053 
011669010016M03BC  044 
011670010013D02AB  044 
011671010012D07CC  044 
011672010011J01DF  044 
011673010010A12AX  044 
011675010018A11HA  044 
011676010017C09BA  044 
011678010015A11EC  044 
011679010014R05X   044 
011680010011A07BC  044 
011682010019C05AD  074 
011682010019C05AX  044 
011686010015H03AA  044 
011687010014R01BA  083 
011687010014R05DA  044 
011688010013V03AX  121 
011688020012V03AX  121 
011689010012C10AX  933 
011693010016A03DA  044 
011694010015A03FA  044 
011695010014R05DA  933 
011695020013R05DA  933 
011696010013G03CA  122 
011696010013G03CB  933 
011696020012G03CB  933 
011696030011G03CA  122 
011697010012G03C   044 
011698010011D01AC  933*
011698020010D01AC  933*
011702010015V90    052 
011705010012D08AX  044 
011706010011C05AX  044 
011709010018B05BA  044 
011712010013A02AD  044 
011713010012N02BE  102 
011713010012R05DA  044 
011714010011G04BC  044 
011715010010A12AX  044 
011716010019N05BX  933*
011717010018A13A   044 
011718010017R01AB  044 
011719010016N01BB  044 
011720010013B03BA  044 
011722010011M03BA  044 
011723010010J01AA  044 
011724010019V90    052 
011725010018C09BA  044 
011726010017A06AG  044 
011727010016B01AA  933*
011729010014N05CB  044 
011730010011D02AF  933 
011731010010N02AA  044 
011731010010N02BB  044 
011732010019N02AA  044 
011732010019N02BB  044 
011733010018N02AA  044 
011733010018N02BB  044 
011734010017D10AB  044 
011735010016A01AC  044 
011736010015J01CR  083 
011738010013N05CM  044 
011739010012D05BB  044 
011741010018C02LA  044 
011742010017G02C   044 
011744010015A12    044 
011745010014A12C   044 
011748010011L01BB  933*
011750010016R01AX  044 
011751010015N02BE  044 
011752010014R02AA  044 
011753010013M02AB  044 
011755010011M01AE  044 
011756010010M02AC  044 
011757010019R05X   044 
011758010018D06AX  044 
011758010018R02AB  072 
011760010014M02AC  044 
011761010013A09AB  044 
011764010010N05CB  044 
011766010018N05CX  044 
011767010017J05AX  044 
011768010016B02BD  933 
011769010015C04A   044 
011770010012C05AX  044 
011771010011C05AD  044 
011774010018B05BC  044 
011775010017D03    122 
011775010017D08AX  933 
011775010017D10AX  121 
011775010017D10BX  104 
011776010016V90    052 
011777010015V03AX  044 
011778010014C01EB  044 
011781010019A04AA  933*
011781020018A04AA  952*
011782010018M02AC  044 
011783010017R01AB  044 
011784010016M02AA  044 
011786010014C01AA  044 
011786010014C03DA  044 
011788010012N06AA  933 
011788020011N06AA  933 
011789010011A01AB  043 
011790010018N02BE  044 
011791010017N01BA  044 
011794010014A01AB  933 
011794020013A01AB  933 
011798010010V90    052 
011799010019B05BB  123 
011799010019B05CB  044 
011800010016C01AC  044 
011801010015D04AB  044 
011803010013A07    044 
011804010012R05CA  044 
011806010010D02AC  044 
011808010018V08CA  044 
011809010017V08CA  933*
011810010014D04AB  044 
011811010013S01XA  044 
011813010011D10AD  934*
011814010010V07AY  934 
011815010019P01AX  934*
011816010018A07BA  044 
011817010017N04BX  934*
011818010016N06BX  934*
011819010015D02AC  044 
011821010011A11EA  044 
011822010010A10BD  043 
011823010019N02AB  044 
011824010018M01AB  032 
011825010017R05X   044 
011827010015L02BG  934*
